"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidades de ventana alerts, frame and windows","Probar funcionalidades de alerts, time and windows","ERROR","2022-12-19T21:44:31.027922-05:00[America/Bogota]","0.0","58.51"
"Evaluar elements","Ingresar a Elements","SUCCESS","2023-01-10T20:42:56.298262-05:00[America/Bogota]","0.0","22.61"
"Funcionalidades de ventana widgets","Probar funcionalidades de widgets","SUCCESS","2022-12-19T21:27:06.384969-05:00[America/Bogota]","0.0","26.77"
