"Story","Title","Result","Date","Stability","Duration (s)"
"Funcionalidades de ventana alerts, frame and windows","Probar funcionalidades de alerts, time and windows","SUCCESS","2023-01-10T21:13:27.246797-05:00[America/Bogota]","0.0","29.3"
"Evaluar elements","Ingresar a Elements","SUCCESS","2023-01-10T20:42:56.298262-05:00[America/Bogota]","0.0","22.61"
